KYC对账号,发行人,信用主体简称,信用主体,KYC expiry date,KYC Status
1007,"HUZHOU CITY INVESTMENT DEVELOPMENT GROUP CO., LTD.",湖州城投,湖州市城市投资发展集团有限公司,21/10/2024,Existing
1006,MEGA WISDOM GLOBAL LIMITED,远洋资本,远洋资本控股有限公司,20/10/2024,Existing
1005,"CHENGDU HI-TECH INVESTMENT GROUP CO., LTD.",成都高新,成都高新投资集团有限公司,19/10/2024,Existing
1004,"JIANGNING JINGKAI OVERSEAS INVESTMENT CO., LTD.",南京江宁经开,南京江宁经济技术开发集团有限公司,13/10/2024,Existing
1003,STATE ELITE GLOBAL LIMITED,建银国际,建银国际(控股)有限公司,23/9/2024,Existing
1002,"WEIFANG URBAN CONSTRUCTION AND DEVELOPMENT INVESTMENT GROUP CO., LTD.",潍坊城建,潍坊市城市建设发展投资集团有限公司,17/9/2024,Existing
1001,"BEIJING ENVIRONMENT (BVI) INTERNATIONAL CO., LTD",北京环卫,北京环境卫生工程集团有限公司,16/9/2024,Existing
0073【Quanxin】,QUAN CHENG FINANCIAL HOLDINGS BVI LTD,济南金控,济南金融控股集团有限公司,,需QRC确认Existing
0072【Lily】,AGILE GROUP HOLDINGS LTD,雅居乐,雅居乐集团控股有限公司,,需QRC确认Existing
0071【Gold Bullion VIII】,INVENTIVE GLOBAL INVESTMENTS LTD,农银国际,农银国际控股有限公司,,需QRC确认Existing
0070【Palladium】,SDG FINANCE LTD,山东黄金,山东黄金集团有限公司,,需QRC确认Existing
0069【Cypress III】,ANHUI TRANSPORTATION HOLDING GROUP HK LTD,安徽交控,安徽省交通控股集团有限公司,,需QRC确认Existing
0068【Brilliant XI】,BAIDU INC,百度集团,百度集团股份有限公司,,需QRC确认Existing
0067【Central】,CENTRAL INTERNATIONAL DEVELOPMENT BVI LTD,河南投资,河南投资集团有限公司,,需QRC确认Existing
0066【Genesis III】,SHAOXING CITY INVESTMENT GROUP LTD,绍兴城投,绍兴市城市建设投资集团有限公司,,需QRC确认Existing
0065【Phoenix II】,YIELDKING INVESTMENT LTD,四川发展,四川发展(控股)有限责任公司,,需QRC确认Existing
0064【Goldrush】,GEMDALE EVER PROSPERITY INVESTMENT LTD,金地集团,金地(集团)股份有限公司,,需QRC确认Existing
0063【Qianjiang III】,ZHEJIANG BARON BVI CO LTD,杭州上城城建综合,杭州上城区城市建设综合开发有限公司,,需QRC确认Existing
0062【Aero V】,XI'AN AEROSPACE HIGH-TECH INDUSTRY DEVELOPMENT GROUP CO LTD,西安航天高技术,西安航天高技术产业发展集团有限公司,,需QRC确认Existing
0061【Soar V】,SOAR WISE LTD,中航租赁,中航国际融资租赁有限公司,,需QRC确认Existing
0060【Taishan VIII】,SHANDONG IRON AND STEEL XINHENG INTERNATIONAL CO LTD,山东钢铁,山东钢铁集团有限公司,,需QRC确认Existing
0059【Canal】,CHINA CITIC BANK INTERNATIONAL LTD,信银国际,中信银行(国际)有限公司,,需QRC确认Existing
0058【Journey II Tap】,HOPSON DEVELOPMENT HOLDINGS LTD,合生创展,合生创展集团有限公司,,需QRC确认Existing
0057【Cullinan】,JIAYUAN INTERNATIONAL GROUP LTD,佳源国际,佳源国际控股有限公司,,需QRC确认Existing
0056【Yaowang】,SHUN XIN INTERNATIONAL DEVELOPMENT CO LTD,余姚舜财投控,余姚市舜财投资控股有限公司,,需QRC确认Existing
0055【Excellence】,BRIGHT GALAXY INTERNATIONAL LTD,北京首都开发,北京首都开发控股(集团)有限公司,,需QRC确认Existing
0054【1215】,SHENWAN HONGYUAN INTERNATIONAL FINANCE LTD,申万宏源,申万宏源证券有限公司,,需QRC确认Existing
0053【Earth】,XIAOMI BEST TIME INTERNATIONAL LTD,小米集团,小米集团,,需QRC确认Existing
0052【Silkroad】,FUJIAN INVESTMENT DEVELOPMENT GROUP CO LTD,福建省投,福建省投资开发集团有限责任公司,,需QRC确认Existing
0051【Dandelion VI】,SHANGHAI PUDONG DEVELOPMENT BANK CO LTD/HONG KONG,浦发银行,上海浦东发展银行股份有限公司,,需QRC确认Existing
0050【G】,BANK OF CHINA HONG KONG LTD,中银香港,中国银行(香港)有限公司,,需QRC确认Existing
0049【Happy Living】,KUNMING PUBLIC RENTAL HOUSING DEVELOPMENT CONSTRUCTION MANAGEMENT CO LTD,昆明安居,昆明市公共租赁住房开发建设管理有限公司,,需QRC确认Existing
0048【Lightfoot】,BANK OF COMMUNICATIONS HONG KONG LTD,交银香港,交通银行(香港)有限公司,,需QRC确认Existing
0047【Sincere III】,ZHONGYUAN ZHICHENG CO LTD,中原豫资,中原豫资投资控股集团有限公司,,需QRC确认Existing
