Date,R_SOFR
4/21/2021,0.01
4/20/2021,0.01
4/19/2021,0.01
4/16/2021,0.01
4/15/2021,0.01
4/14/2021,0.01
4/13/2021,0.01
4/12/2021,0.01
4/9/2021,0.01
4/8/2021,0.01
4/7/2021,0.01
4/6/2021,0.01
4/5/2021,0.01
4/1/2021,0.01
3/31/2021,0.01
3/30/2021,0.01
3/29/2021,0.01
3/26/2021,0.01
3/25/2021,0.01
3/24/2021,0.01
3/23/2021,0.01
3/22/2021,0.01
3/19/2021,0.01
3/18/2021,0.01
3/17/2021,0.01
3/16/2021,0.01
3/15/2021,0.01
3/12/2021,0.01
3/11/2021,0.01
3/10/2021,0.02
3/9/2021,0.02
3/8/2021,0.02
3/5/2021,0.02
3/4/2021,0.02
3/3/2021,0.04
3/2/2021,0.04
3/1/2021,0.02
2/26/2021,0.01
2/25/2021,0.03
2/24/2021,0.02
2/23/2021,0.01
2/22/2021,0.03
2/19/2021,0.02
2/18/2021,0.03
2/17/2021,0.06
2/16/2021,0.06
2/12/2021,0.05
2/11/2021,0.06
2/10/2021,0.06
2/9/2021,0.05
2/8/2021,0.02
2/5/2021,0.02
2/4/2021,0.05
2/3/2021,0.07
2/2/2021,0.07
2/1/2021,0.07
1/29/2021,0.06
1/28/2021,0.04
1/27/2021,0.03
1/26/2021,0.03
1/25/2021,0.06
1/22/2021,0.05
1/21/2021,0.04
1/20/2021,0.06
1/19/2021,0.07
1/15/2021,0.08
1/14/2021,0.08
1/13/2021,0.08
1/12/2021,0.08
1/11/2021,0.09
1/8/2021,0.09
1/7/2021,0.1
1/6/2021,0.1
1/5/2021,0.11
1/4/2021,0.1
12/31/2020,0.07
12/30/2020,0.09
12/29/2020,0.1
12/28/2020,0.09
12/24/2020,0.08
12/23/2020,0.06
12/22/2020,0.07
12/21/2020,0.09
12/18/2020,0.09
12/17/2020,0.09
12/16/2020,0.09
12/15/2020,0.09
12/14/2020,0.08
12/11/2020,0.08
12/10/2020,0.08
12/9/2020,0.08
12/8/2020,0.07
12/7/2020,0.08
12/4/2020,0.09
12/3/2020,0.08
12/2/2020,0.08
12/1/2020,0.08
11/30/2020,0.09
11/27/2020,0.08
11/25/2020,0.08
11/24/2020,0.07
11/23/2020,0.05
11/20/2020,0.05
11/19/2020,0.06
11/18/2020,0.07
11/17/2020,0.09
11/16/2020,0.1
11/13/2020,0.09
11/12/2020,0.09
11/10/2020,0.1
11/9/2020,0.1
11/6/2020,0.1
11/5/2020,0.11
11/4/2020,0.1
11/3/2020,0.1
11/2/2020,0.11
10/30/2020,0.09
10/29/2020,0.09
10/28/2020,0.08
10/27/2020,0.09
10/26/2020,0.09
10/23/2020,0.08
10/22/2020,0.07
10/21/2020,0.07
10/20/2020,0.08
10/19/2020,0.09
10/16/2020,0.09
10/15/2020,0.1
10/14/2020,0.09
10/13/2020,0.09
10/9/2020,0.09
10/8/2020,0.08
10/7/2020,0.09
10/6/2020,0.1
10/5/2020,0.09
10/2/2020,0.1
10/1/2020,0.08
9/30/2020,0.08
9/29/2020,0.07
9/28/2020,0.08
9/25/2020,0.08
9/24/2020,0.07
9/23/2020,0.06
9/22/2020,0.07
9/21/2020,0.08
9/18/2020,0.09
9/17/2020,0.1
9/16/2020,0.1
9/15/2020,0.1
9/14/2020,0.09
9/11/2020,0.09
9/10/2020,0.09
9/9/2020,0.09
9/8/2020,0.09
9/4/2020,0.09
9/3/2020,0.1
9/2/2020,0.09
9/1/2020,0.09
8/31/2020,0.09
8/28/2020,0.07
8/27/2020,0.07
8/26/2020,0.07
8/25/2020,0.08
8/24/2020,0.08
8/21/2020,0.07
8/20/2020,0.07
8/19/2020,0.09
8/18/2020,0.09
8/17/2020,0.1
8/14/2020,0.09
8/13/2020,0.09
8/12/2020,0.09
8/11/2020,0.1
8/10/2020,0.09
8/7/2020,0.09
8/6/2020,0.09
8/5/2020,0.09
8/4/2020,0.09
8/3/2020,0.1
7/31/2020,0.1
7/30/2020,0.1
7/29/2020,0.09
7/28/2020,0.1
7/27/2020,0.1
7/24/2020,0.1
7/23/2020,0.1
7/22/2020,0.1
7/21/2020,0.11
7/20/2020,0.12
7/17/2020,0.12
7/16/2020,0.12
7/15/2020,0.13
7/14/2020,0.11
7/13/2020,0.1
7/10/2020,0.1
7/9/2020,0.1
7/8/2020,0.1
7/7/2020,0.1
7/6/2020,0.1
7/2/2020,0.11
7/1/2020,0.11
6/30/2020,0.1
6/29/2020,0.08
6/26/2020,0.08
6/25/2020,0.09
6/24/2020,0.08
6/23/2020,0.07
6/22/2020,0.08
6/19/2020,0.09
6/18/2020,0.09
6/17/2020,0.09
6/16/2020,0.09
6/15/2020,0.09
6/12/2020,0.08
6/11/2020,0.08
6/10/2020,0.07
6/9/2020,0.08
6/8/2020,0.07
6/5/2020,0.07
6/4/2020,0.07
6/3/2020,0.06
6/2/2020,0.07
6/1/2020,0.06
5/29/2020,0.06
5/28/2020,0.06
5/27/2020,0.06
5/26/2020,0.06
5/22/2020,0.04
5/21/2020,0.02
5/20/2020,0.01
5/19/2020,0.04
5/18/2020,0.04
5/15/2020,0.05
5/14/2020,0.02
5/13/2020,0.04
5/12/2020,0.06
5/11/2020,0.06
5/8/2020,0.06
5/7/2020,0.05
5/6/2020,0.05
5/5/2020,0.05
5/4/2020,0.05
5/1/2020,0.03
4/30/2020,0.04
4/29/2020,0.01
4/28/2020,0.01
4/27/2020,0.03
4/24/2020,0.03
4/23/2020,0.01
4/22/2020,0.01
4/21/2020,0.01
4/20/2020,0.02
4/17/2020,0.03
4/16/2020,0.03
4/15/2020,0.03
4/14/2020,0.06
4/13/2020,0.02
4/9/2020,0.01
4/8/2020,0.01
4/7/2020,0.01
4/6/2020,0.01
4/3/2020,0.01
4/2/2020,0.01
4/1/2020,0.01
3/31/2020,0.01
3/30/2020,0.01
3/27/2020,0.01
3/26/2020,0.01
3/25/2020,0.01
3/24/2020,0.01
3/23/2020,0.02
3/20/2020,0.04
3/19/2020,0.06
3/18/2020,0.1
3/17/2020,0.54
3/16/2020,0.26
3/13/2020,1.1
3/12/2020,1.2
3/11/2020,1.15
3/10/2020,1.11
3/9/2020,1.09
3/6/2020,1.1
3/5/2020,1.12
3/4/2020,1.23
3/3/2020,1.64
3/2/2020,1.59
2/28/2020,1.6
2/27/2020,1.58
2/26/2020,1.58
2/25/2020,1.59
2/24/2020,1.58
2/21/2020,1.58
2/20/2020,1.6
2/19/2020,1.59
2/18/2020,1.6
2/14/2020,1.58
2/13/2020,1.57
2/12/2020,1.57
2/11/2020,1.58
2/10/2020,1.58
2/7/2020,1.58
2/6/2020,1.59
2/5/2020,1.59
2/4/2020,1.6
2/3/2020,1.59
1/31/2020,1.6
1/30/2020,1.58
1/29/2020,1.53
1/28/2020,1.53
1/27/2020,1.53
1/24/2020,1.53
1/23/2020,1.54
1/22/2020,1.54
1/21/2020,1.54
1/17/2020,1.54
1/16/2020,1.55
1/15/2020,1.56
1/14/2020,1.55
1/13/2020,1.54
1/10/2020,1.55
1/9/2020,1.55
1/8/2020,1.55
1/7/2020,1.56
1/6/2020,1.55
1/3/2020,1.55
1/2/2020,1.54
12/31/2019,1.55
12/30/2019,1.54
12/27/2019,1.53
12/26/2019,1.52
12/24/2019,1.52
12/23/2019,1.52
12/20/2019,1.53
12/19/2019,1.53
12/18/2019,1.53
12/17/2019,1.54
12/16/2019,1.62
12/13/2019,1.54
12/12/2019,1.53
12/11/2019,1.54
12/10/2019,1.55
12/9/2019,1.56
12/6/2019,1.55
12/5/2019,1.55
12/4/2019,1.54
12/3/2019,1.55
12/2/2019,1.63
11/29/2019,1.65
11/27/2019,1.55
11/26/2019,1.54
11/25/2019,1.56
11/22/2019,1.58
11/21/2019,1.58
11/20/2019,1.57
11/19/2019,1.57
11/18/2019,1.56
11/15/2019,1.59
11/14/2019,1.58
11/13/2019,1.57
11/12/2019,1.57
11/8/2019,1.56
11/7/2019,1.56
11/6/2019,1.57
11/5/2019,1.58
11/4/2019,1.56
11/1/2019,1.58
10/31/2019,1.76
10/30/2019,1.82
10/29/2019,1.81
10/28/2019,1.82
10/25/2019,1.84
10/24/2019,1.86
10/23/2019,1.87
10/22/2019,1.87
10/21/2019,1.86
10/18/2019,1.88
10/17/2019,1.95
10/16/2019,2.05
10/15/2019,2
10/11/2019,1.85
10/10/2019,1.85
10/9/2019,1.85
10/8/2019,1.85
10/7/2019,1.83
10/4/2019,1.82
10/3/2019,1.84
10/2/2019,1.85
10/1/2019,1.88
9/30/2019,2.35
9/27/2019,1.82
9/26/2019,1.85
9/25/2019,2.01
9/24/2019,1.96
9/23/2019,1.85
9/20/2019,1.86
9/19/2019,1.95
9/18/2019,2.55
9/17/2019,5.25
9/16/2019,2.43
9/13/2019,2.2
9/12/2019,2.2
9/11/2019,2.15
9/10/2019,2.14
9/9/2019,2.12
9/6/2019,2.15
9/5/2019,2.21
9/4/2019,2.21
9/3/2019,2.17
8/30/2019,2.16
8/29/2019,2.12
8/28/2019,2.12
8/27/2019,2.15
8/26/2019,2.1
8/23/2019,2.1
8/22/2019,2.09
8/21/2019,2.1
8/20/2019,2.13
8/19/2019,2.11
8/16/2019,2.13
8/15/2019,2.18
8/14/2019,2.13
8/13/2019,2.16
8/12/2019,2.12
8/9/2019,2.11
8/8/2019,2.09
8/7/2019,2.1
8/6/2019,2.11
8/5/2019,2.13
8/2/2019,2.19
8/1/2019,2.19
7/31/2019,2.55
7/30/2019,2.39
7/29/2019,2.4
7/26/2019,2.41
7/25/2019,2.42
7/24/2019,2.41
7/23/2019,2.4
7/22/2019,2.4
7/19/2019,2.41
7/18/2019,2.46
7/17/2019,2.47
7/16/2019,2.47
7/15/2019,2.46
7/12/2019,2.36
7/11/2019,2.41
7/10/2019,2.46
7/9/2019,2.45
7/8/2019,2.48
7/5/2019,2.59
7/3/2019,2.56
7/2/2019,2.51
7/1/2019,2.42
6/28/2019,2.5
6/27/2019,2.42
6/26/2019,2.43
6/25/2019,2.41
6/24/2019,2.39
6/21/2019,2.37
6/20/2019,2.36
6/19/2019,2.36
6/18/2019,2.39
6/17/2019,2.41
6/14/2019,2.35
6/13/2019,2.35
6/12/2019,2.37
6/11/2019,2.38
6/10/2019,2.39
6/7/2019,2.39
6/6/2019,2.4
6/5/2019,2.4
6/4/2019,2.39
6/3/2019,2.4
5/31/2019,2.49
5/30/2019,2.4
5/29/2019,2.4
5/28/2019,2.41
5/24/2019,2.37
5/23/2019,2.37
5/22/2019,2.37
5/21/2019,2.38
5/20/2019,2.39
5/17/2019,2.42
5/16/2019,2.43
5/15/2019,2.48
5/14/2019,2.39
5/13/2019,2.38
5/10/2019,2.4
5/9/2019,2.41
5/8/2019,2.43
5/7/2019,2.44
5/6/2019,2.42
5/3/2019,2.43
5/2/2019,2.5
5/1/2019,2.54
